25.0,46.0,25.82
26.0,39.0,26.17,Mon Sep 14 15:55:04 2015
26.0,39.0,26.17,Mon Sep 14 15:55:05 2015
26.0,39.0,26.17,Mon Sep 14 15:55:06 2015
26.0,39.0,26.17,Mon Sep 14 15:55:08 2015
26.0,39.0,26.17,Mon Sep 14 15:55:09 2015
26.0,39.0,26.17,Mon Sep 14 15:55:10 2015
26.0,39.0,26.17,Mon Sep 14 15:55:11 2015
26.0,39.0,26.17,Mon Sep 14 15:55:12 2015
26.0,39.0,26.17,Mon Sep 14 15:55:13 2015
26.0,39.0,26.17,Mon Sep 14 15:55:15 2015
26.0,39.0,26.17,Mon Sep 14 15:55:16 2015
26.0,39.0,26.17,Mon Sep 14 15:55:17 2015
26.0,39.0,26.17,Mon Sep 14 15:55:18 2015
26.0,39.0,26.17,Mon Sep 14 15:55:19 2015
26.0,39.0,26.17,Mon Sep 14 15:55:20 2015
26.0,39.0,26.17,Mon Sep 14 15:55:22 2015
26.0,39.0,26.17,Mon Sep 14 15:55:22 2015
26.0,39.0,26.17,Mon Sep 14 15:55:24 2015
26.0,39.0,26.17,Mon Sep 14 15:55:25 2015
26.0,39.0,26.17,Mon Sep 14 15:55:26 2015
26.0,39.0,26.17,Mon Sep 14 15:55:27 2015
26.0,39.0,26.17,Mon Sep 14 15:55:28 2015
26.0,39.0,26.17,Mon Sep 14 15:55:29 2015
26.0,39.0,26.17,Mon Sep 14 15:55:31 2015
26.0,39.0,26.17,Mon Sep 14 15:55:32 2015
26.0,39.0,26.17,Mon Sep 14 15:55:33 2015
26.0,39.0,26.17,Mon Sep 14 15:55:34 2015
26.0,39.0,26.17,Mon Sep 14 15:55:35 2015
26.0,39.0,26.17,Mon Sep 14 15:55:36 2015
26.0,39.0,26.17,Mon Sep 14 15:55:37 2015
26.0,39.0,26.17,Mon Sep 14 15:55:38 2015
26.0,39.0,26.17,Mon Sep 14 15:55:40 2015
26.0,39.0,26.17,Mon Sep 14 15:55:41 2015
26.0,39.0,26.17,Mon Sep 14 15:55:42 2015
26.0,39.0,26.17,Mon Sep 14 15:55:43 2015
26.0,39.0,26.17,Mon Sep 14 15:55:44 2015
26.0,39.0,26.17,Mon Sep 14 15:55:45 2015
26.0,39.0,26.17,Mon Sep 14 15:55:46 2015
26.0,39.0,26.17,Mon Sep 14 15:55:47 2015
26.0,39.0,26.17,Mon Sep 14 15:55:49 2015
26.0,39.0,26.17,Mon Sep 14 15:55:50 2015
26.0,39.0,26.17,Mon Sep 14 15:55:51 2015
26.0,39.0,26.17,Mon Sep 14 15:55:52 2015
26.0,39.0,26.17,Mon Sep 14 15:55:53 2015
26.0,39.0,26.17,Mon Sep 14 15:55:54 2015
26.0,39.0,26.17,Mon Sep 14 15:55:56 2015
